dbLevel,dominantFrequency,variance,spikeCount,trainingLabel
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,1.0,0.105469,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
30.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,0.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
0.0,0.0,1.0,0,HUMAN
49.7202,7.8125,46727.7,48,HUMAN
35.0028,7.8125,2117.55,0,HUMAN
37.3179,7.8125,3061.71,0,HUMAN
42.0718,7.8125,8303.55,0,HUMAN
42.6798,7.8125,8945.14,0,HUMAN
46.8253,7.8125,25061.3,0,HUMAN
35.1948,7.8125,1738.05,0,HUMAN
40.17,7.8125,4863.41,0,HUMAN
47.6281,7.8125,29176.9,31,HUMAN
47.5035,7.8125,36021.7,93,HUMAN
38.4465,7.8125,4332.03,0,HUMAN
41.2284,7.8125,7982.55,0,HUMAN
42.3557,7.8125,9825.5,7,HUMAN
39.9636,7.8125,6260.25,0,HUMAN
37.375,7.8125,2241.17,0,HUMAN
32.9516,7.8125,1090.7,0,HUMAN
41.2816,7.8125,7378.47,0,HUMAN
40.3428,7.8125,7217.38,0,HUMAN
31.0108,7.8125,632.566,0,HUMAN
47.4423,7.8125,21002.0,9,HUMAN
41.5729,7.8125,8506.44,9,HUMAN
44.664,7.8125,17614.6,34,HUMAN
40.6449,7.8125,6277.91,0,HUMAN
45.1118,7.8125,19759.1,4,HUMAN
44.363,7.8125,18582.1,0,HUMAN
42.237,7.8125,14191.3,13,HUMAN
41.3418,7.8125,7779.98,6,HUMAN
39.5641,7.8125,4665.44,0,HUMAN
38.3668,7.8125,3904.61,0,HUMAN
36.8001,7.8125,2828.54,0,HUMAN
46.0,7.8125,32330.1,37,HUMAN
31.0117,7.8125,707.39,0,HUMAN
38.5568,7.8125,3937.9,0,HUMAN
56.8285,7.8125,317338.0,326,HUMAN
31.5608,7.8125,735.59,0,HUMAN
40.2597,7.8125,5463.9,0,HUMAN
39.3069,7.8125,5723.87,0,HUMAN
35.7191,7.8125,2255.09,0,HUMAN
38.1106,7.8125,3556.26,0,HUMAN
35.5455,7.8125,2282.22,0,HUMAN
41.3734,7.8125,12736.6,1,HUMAN
42.0693,7.8125,9994.9,0,HUMAN
43.3567,7.8125,19062.4,6,HUMAN
36.2562,7.8125,2306.01,0,HUMAN
37.3038,7.8125,3401.99,0,HUMAN
34.3435,7.8125,1484.49,0,HUMAN
36.3178,7.8125,2651.15,0,HUMAN
36.0715,7.8125,2441.99,0,HUMAN
37.7183,7.8125,3460.59,0,HUMAN
32.2051,7.8125,819.721,0,HUMAN
32.6926,7.8125,1253.13,0,HUMAN
34.1707,7.8125,1446.8,0,HUMAN
39.4092,7.8125,6252.7,0,HUMAN
39.3347,7.8125,3638.53,0,HUMAN
42.6972,7.8125,8057.57,0,HUMAN
31.5365,7.8125,899.238,0,HUMAN
40.7891,7.8125,4888.38,0,HUMAN
36.5496,7.8125,3460.28,1,HUMAN
43.6796,7.8125,14586.6,0,HUMAN
41.3466,7.8125,7524.52,0,HUMAN
43.171,7.8125,11500.0,4,HUMAN
40.2638,7.8125,5351.91,0,HUMAN
44.7275,7.8125,27251.1,19,HUMAN
43.6021,7.8125,11723.6,0,HUMAN
41.4402,7.8125,7273.76,0,HUMAN
42.9183,7.8125,17532.4,11,HUMAN
32.8567,7.8125,1149.43,0,HUMAN
43.7529,7.8125,22188.6,9,HUMAN
36.8165,7.8125,2703.64,0,HUMAN
45.1601,7.8125,19899.6,15,HUMAN
61.4293,7.8125,789417.0,239,HUMAN
41.5567,7.8125,8390.91,6,HUMAN
38.3852,7.8125,3156.83,0,HUMAN
41.0359,7.8125,7558.54,0,HUMAN
49.1918,7.8125,85555.8,21,HUMAN
40.7771,7.8125,5047.05,0,HUMAN
42.4369,7.8125,13215.9,0,HUMAN
42.211,7.8125,12573.1,13,HUMAN
41.455,7.8125,7910.33,0,HUMAN
47.349,7.8125,29068.3,12,HUMAN
48.05,7.8125,38907.0,8,HUMAN
34.8831,7.8125,1652.67,0,HUMAN
49.2871,7.8125,30932.0,12,HUMAN
46.0572,7.8125,27382.7,34,HUMAN
39.9546,7.8125,4834.75,0,HUMAN
31.916,7.8125,833.866,0,HUMAN
53.7157,7.8125,214577.0,139,HUMAN
60.4346,7.8125,800486.0,323,HUMAN
46.9628,7.8125,24081.5,45,HUMAN
44.7315,7.8125,27242.4,35,HUMAN
47.4422,7.8125,27378.7,37,HUMAN
50.5561,7.8125,141989.0,105,HUMAN
39.5253,7.8125,4617.63,0,HUMAN
53.6335,7.8125,202436.0,221,HUMAN
37.8963,7.8125,4805.91,2,HUMAN
46.8819,7.8125,22807.6,23,HUMAN
46.7705,7.8125,25722.3,21,HUMAN
38.876,7.8125,4161.46,0,HUMAN
37.2816,7.8125,2881.41,0,HUMAN
41.8122,7.8125,9212.27,3,HUMAN
44.5532,7.8125,15454.7,0,HUMAN
37.0412,7.8125,2750.23,0,HUMAN
30.8464,7.8125,744.816,0,HUMAN
43.2434,7.8125,12165.6,0,HUMAN
37.2897,7.8125,3317.3,0,HUMAN
35.726,7.8125,2009.9,0,HUMAN
42.1278,7.8125,6433.7,0,HUMAN
43.3753,7.8125,12232.6,9,HUMAN
47.0852,7.8125,32528.6,68,HUMAN
40.9446,7.8125,6651.09,0,HUMAN
42.5733,7.8125,10344.2,12,HUMAN
38.7183,7.8125,4837.22,6,HUMAN
39.4392,7.8125,5026.04,0,HUMAN
43.0781,7.8125,12106.0,1,HUMAN
44.7924,7.8125,18758.3,25,HUMAN
42.703,7.8125,10347.1,4,HUMAN
52.0319,7.8125,125891.0,123,HUMAN
39.3644,7.8125,5491.68,0,HUMAN
41.1239,7.8125,5977.26,3,HUMAN
35.0647,7.8125,1794.45,0,HUMAN
32.3401,7.8125,1095.76,0,HUMAN
42.7195,7.8125,9614.09,7,HUMAN
39.4325,7.8125,4765.31,1,HUMAN
29.53,7.8125,448.053,0,HUMAN
31.9876,7.8125,1109.56,0,HUMAN
37.3952,7.8125,2940.13,0,HUMAN
38.6207,7.8125,3810.6,3,HUMAN
33.0045,7.8125,1130.08,0,HUMAN
33.7887,7.8125,1463.9,0,HUMAN
36.6796,7.8125,3259.57,0,HUMAN
37.2051,7.8125,2888.43,0,HUMAN
53.1491,7.8125,100170.0,163,HUMAN
42.3222,7.8125,9333.65,0,HUMAN
33.5156,7.8125,1863.23,0,HUMAN
47.2046,7.8125,31068.6,35,HUMAN
49.0018,7.8125,172801.0,78,HUMAN
51.1501,7.8125,90481.7,96,HUMAN
42.3479,7.8125,11978.8,0,HUMAN
33.6619,7.8125,1111.21,0,HUMAN
49.6063,7.8125,48355.0,133,HUMAN
52.2838,7.8125,85888.5,170,HUMAN
34.0779,7.8125,1209.21,0,HUMAN
43.7246,7.8125,13177.8,1,HUMAN
40.0159,7.8125,7441.08,0,HUMAN
38.7344,7.8125,4454.89,0,HUMAN
38.9827,7.8125,4753.69,1,HUMAN
59.2959,7.8125,597679.0,356,HUMAN
37.3364,7.8125,3211.23,0,HUMAN
43.4609,7.8125,10808.6,0,HUMAN
54.2282,7.8125,123397.0,200,HUMAN
50.7346,7.8125,236765.0,63,HUMAN
43.7297,7.8125,15240.0,10,HUMAN
48.8703,7.8125,44766.8,49,HUMAN
38.8902,7.8125,4151.35,0,HUMAN
43.2188,7.8125,12184.6,3,HUMAN
45.114,7.8125,21675.9,51,HUMAN
44.759,7.8125,16162.2,12,HUMAN
44.1467,7.8125,14682.1,2,HUMAN
36.2064,7.8125,2154.64,0,HUMAN
52.5985,7.8125,127458.0,158,HUMAN
50.9,7.8125,101199.0,141,HUMAN
45.1228,7.8125,17496.0,12,HUMAN
51.2748,7.8125,65313.7,82,HUMAN
35.6124,7.8125,2512.01,0,HUMAN
41.7233,7.8125,7854.73,0,HUMAN
55.0387,7.8125,149129.0,157,HUMAN
52.1831,7.8125,160602.0,140,HUMAN
50.0582,7.8125,58858.8,139,HUMAN
42.6592,7.8125,16896.8,9,HUMAN
40.5484,7.8125,6479.95,0,HUMAN
40.4191,7.8125,6634.09,1,HUMAN
67.5978,7.8125,2.79183E7,0,HUMAN
37.4235,148.438,13658.6,0,HUMAN
50.6817,234.375,312368.0,30,HUMAN
45.2021,500.0,90933.6,16,HUMAN
45.4589,281.25,86162.7,0,HUMAN
43.8347,179.688,63385.9,1,HUMAN
42.7162,179.688,49434.1,1,HUMAN
39.5029,437.5,24596.1,0,HUMAN
53.4547,257.812,532744.0,105,HUMAN
44.4943,195.312,84248.1,7,HUMAN
37.5358,250.0,15944.9,0,HUMAN
45.2795,218.75,88252.8,1,HUMAN
57.9317,710.938,1632780.0,254,NON_HUMAN
53.5024,390.625,562785.0,154,HUMAN
43.728,179.688,70479.9,1,HUMAN
39.9361,570.312,26501.6,1,HUMAN
67.4742,7.8125,2.69955E7,2,HUMAN
32.8582,23.4375,4929.3,0,HUMAN
48.7705,875.0,201012.0,126,NON_HUMAN
42.9274,460.938,55126.3,0,HUMAN
47.9496,375.0,158937.0,93,HUMAN
40.9265,132.812,30965.0,0,HUMAN
40.9338,226.562,38516.2,0,HUMAN
55.6573,265.625,1027280.0,85,HUMAN
42.5411,437.5,41794.8,0,HUMAN
45.5123,437.5,94172.9,8,HUMAN
45.2246,31.25,81251.7,3,HUMAN
51.8084,1023.44,381635.0,231,NON_HUMAN
41.6276,429.688,36465.6,0,HUMAN
40.768,835.938,30446.4,0,NON_HUMAN
39.9435,414.062,25597.5,0,HUMAN
68.0546,7.8125,3.0788E7,1,HUMAN
39.79,804.688,25285.6,0,NON_HUMAN
46.8119,937.5,123506.0,63,NON_HUMAN
67.941,7.8125,3.01904E7,1,HUMAN
39.3188,390.625,21575.9,0,HUMAN
51.387,781.25,363593.0,181,NON_HUMAN
42.3784,23.4375,47949.6,0,HUMAN
48.644,476.562,231766.0,82,HUMAN
37.6588,46.875,15994.4,0,HUMAN
37.2033,179.688,13112.1,0,HUMAN
35.3998,398.438,9382.92,0,HUMAN
41.7246,234.375,36620.1,0,HUMAN
38.6496,429.688,18600.6,0,HUMAN
33.5489,234.375,6856.39,0,HUMAN
44.4943,351.562,83945.8,2,HUMAN
42.1268,437.5,41767.7,1,HUMAN
31.4571,46.875,3508.37,0,HUMAN
41.2973,156.25,36793.8,0,HUMAN
44.085,187.5,66079.9,2,HUMAN
68.4954,7.8125,3.43577E7,2,HUMAN
48.3517,226.562,169638.0,16,HUMAN
44.2486,507.812,69520.8,6,HUMAN
37.0397,257.812,14364.1,0,HUMAN
60.7792,875.0,3583940.0,327,NON_HUMAN
33.3615,23.4375,6157.72,0,HUMAN
34.0244,46.875,6229.17,0,HUMAN
32.5474,46.875,3980.76,0,HUMAN
32.3773,31.25,4056.48,0,HUMAN
42.431,195.312,44615.6,0,HUMAN
54.3073,195.312,717034.0,93,HUMAN
39.0869,437.5,20645.1,0,HUMAN
43.8131,335.938,61278.0,0,HUMAN
42.7683,171.875,55615.7,9,HUMAN
37.8528,429.688,14297.2,0,HUMAN
43.3325,195.312,58275.0,0,HUMAN
58.0715,554.688,1654860.0,284,HUMAN
57.6862,664.062,1458800.0,328,NON_HUMAN
40.7881,257.812,31403.4,0,HUMAN
39.4728,234.375,23562.4,0,HUMAN
46.9772,320.312,135429.0,3,HUMAN
48.6551,375.0,190402.0,13,HUMAN
41.8313,171.875,36482.7,0,HUMAN
53.1313,187.5,517204.0,127,HUMAN
50.1469,421.875,263752.0,35,HUMAN
44.6141,109.375,69544.2,0,HUMAN
38.438,46.875,18315.4,0,HUMAN
53.8239,187.5,648477.0,77,HUMAN
52.4306,132.812,506845.0,120,HUMAN
44.4934,31.25,75863.2,0,HUMAN
45.2293,31.25,80782.4,10,HUMAN
45.6223,31.25,87507.5,0,HUMAN
48.4529,156.25,180848.0,38,HUMAN
48.6036,609.375,202929.0,68,HUMAN
41.2745,156.25,29174.8,3,HUMAN
52.9719,421.875,490150.0,127,HUMAN
41.9545,539.062,51482.9,11,HUMAN
36.4536,234.375,12257.1,0,HUMAN
60.4453,632.812,2834210.0,368,HUMAN
57.996,679.688,1625110.0,292,NON_HUMAN
49.0635,601.562,210339.0,88,HUMAN
40.0469,156.25,26956.2,0,HUMAN
56.395,421.875,1117870.0,260,HUMAN
43.3093,39.0625,45587.3,0,HUMAN
54.6202,257.812,684195.0,81,HUMAN
40.6461,187.5,38154.7,0,HUMAN
53.912,281.25,618968.0,211,HUMAN
53.8926,992.188,611924.0,274,NON_HUMAN
56.7101,437.5,1241860.0,337,HUMAN
71.2497,1414.06,3.56368E7,480,NON_HUMAN
67.3757,1695.31,1.95094E7,398,NON_HUMAN
67.6739,1515.62,1.68526E7,468,NON_HUMAN
74.0555,1515.62,6.68749E7,479,NON_HUMAN
62.4958,437.5,4749000.0,340,HUMAN
49.595,226.562,245265.0,103,HUMAN
68.2174,7.8125,3.17666E7,178,HUMAN
43.4572,164.062,51263.2,0,HUMAN
67.7311,578.125,1.45871E7,459,HUMAN
57.5629,734.375,1438730.0,262,NON_HUMAN
41.2162,421.875,37183.7,0,HUMAN
51.8792,390.625,394559.0,48,HUMAN
67.0922,726.562,1.31764E7,456,NON_HUMAN
51.2152,554.688,347376.0,115,HUMAN
40.3839,1046.88,28926.8,5,NON_HUMAN
46.7157,390.625,123705.0,64,HUMAN
43.5795,1187.5,62249.2,25,NON_HUMAN
59.7043,281.25,2371440.0,353,HUMAN
47.1174,351.562,132299.0,56,HUMAN
62.5571,578.125,5624100.0,280,HUMAN
45.464,304.688,113649.0,10,HUMAN
67.9581,7.8125,3.06897E7,113,HUMAN
33.4441,46.875,5664.95,0,HUMAN
62.0921,765.625,6260160.0,313,NON_HUMAN
44.6691,257.812,72552.1,0,HUMAN
49.7241,710.938,246232.0,162,NON_HUMAN
37.0861,773.438,13290.2,0,NON_HUMAN
46.7582,1296.88,131609.0,114,NON_HUMAN
49.458,695.312,224387.0,111,NON_HUMAN
48.5273,117.188,178301.0,127,HUMAN
